title,original_language,genre_list,director_name,release_year,release_date,status,runtime_minutes,is_adult,budget_tier,runtime_bucket,language_group,language_name
Arthur Christmas,en,"Animation,Drama,Comedy,Family",Sarah Smith,2011,2011-11-10,Released,97,false,2. Low ($1-15M),2. 90-120 min,English,English
Pepito Piscinas,es,Comedy,Luis María Delgado,1978,1978-04-22,Released,80,false,1. Micro (<$1M),1. Under 90 min,Non-English,Spanish
Bungo: Stories of Desire,ja,Drama,Kenichiro Nishiumi,2012,2012-09-29,Released,201,false,1. Micro (<$1M),5. 180+ min,Non-English,Japanese
Rabid Dogs,fr,"Drama,Action,Thriller,Mystery",Éric Hannezo,2015,2015-09-30,Released,100,false,1. Micro (<$1M),2. 90-120 min,Non-English,French
Pursued,en,"",Gerry O'Hara,1974,1974-01-01,Released,0,false,1. Micro (<$1M),1. Under 90 min,English,English
The Morning After,fr,Comedy,Méliane Marcaggi,2020,2020-08-19,Released,97,false,2. Low ($1-15M),2. 90-120 min,Non-English,French
Darts,en,Comedy,Cosimo Tucci,2021,2021-10-10,Released,107,false,1. Micro (<$1M),2. 90-120 min,English,English
Guľaté tajomstvo,sk,"Comedy,Science Fiction,Mystery",Juraj Takáč,1987,1987-01-03,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Click,en,"Fantasy,Drama,Comedy",Frank Coraci,2006,2006-06-23,Released,107,false,4. High ($75-150M),2. 90-120 min,English,English
Simon Killer,en,"Drama,Thriller",Antonio Campos,2012,2012-04-12,Released,105,false,1. Micro (<$1M),2. 90-120 min,English,English
YANOYA,ja,"Animation,Music",ShiShi Yamazaki,2011,2011-10-03,Released,1,false,1. Micro (<$1M),1. Under 90 min,Non-English,Japanese
Kováci,cs,Documentary,Jiří Krejčík,1946,1946-05-10,Released,0,false,1. Micro (<$1M),1. Under 90 min,Non-English,Other
Romancing the Stone,en,"Adventure,Action,Comedy,Romance",Robert Zemeckis,1984,1984-03-30,Released,106,false,2. Low ($1-15M),2. 90-120 min,English,English
The Iron Giant,en,"Animation,Drama,Science Fiction,Family",Brad Bird,1999,1999-08-06,Released,86,false,3. Mid ($15-75M),1. Under 90 min,English,English
Cinderella,en,"Fantasy,Animation,Romance,Family",Hamilton Luske,1950,1950-02-22,Released,74,false,2. Low ($1-15M),1. Under 90 min,English,English
Panic,it,"Horror,Science Fiction",Tonino Ricci,1982,1982-12-07,Released,90,false,1. Micro (<$1M),2. 90-120 min,Non-English,Italian
Barefoot,en,Drama,Danis Goulet,2012,2012-09-12,Released,11,false,1. Micro (<$1M),1. Under 90 min,English,English
Nudos,es,"Drama,Comedy",Lluís María Güell,2003,2003-03-07,Released,97,false,1. Micro (<$1M),2. 90-120 min,Non-English,Spanish
Carmen,en,Drama,Benjamin Millepied,2023,2023-04-21,Released,117,false,1. Micro (<$1M),2. 90-120 min,English,English
Gange Gowri,kn,"",B. Ramakrishnaiah Panthulu,1967,1967-04-13,Released,174,false,1. Micro (<$1M),4. 150-180 min,Non-English,Other
My Spy The Eternal City,en,"Action,Comedy,Family",Peter Segal,2024,2024-07-18,Released,112,false,1. Micro (<$1M),2. 90-120 min,English,English
Bride Hard,en,"Action,Comedy",Simon West,2025,2025-06-19,Released,105,false,3. Mid ($15-75M),2. 90-120 min,English,English
Step Up,en,"Drama,Crime,Music,Romance",Anne Fletcher,2006,2006-08-11,Released,104,false,2. Low ($1-15M),2. 90-120 min,English,English
Lost in Africa,da,"Drama,Action,Thriller,Family",Vibeke Muasya,2010,2010-10-07,Released,92,false,1. Micro (<$1M),2. 90-120 min,Non-English,Other
Brightburn,en,"Horror,Science Fiction",David Yarovesky,2019,2019-05-09,Released,91,false,2. Low ($1-15M),2. 90-120 min,English,English
Dangerous Females,en,Comedy,William Watson,1929,1929-11-16,Released,21,false,1. Micro (<$1M),1. Under 90 min,English,English
Voicemail,en,"",Raymund Santos,2019,2019-04-19,Released,15,false,1. Micro (<$1M),1. Under 90 min,English,English
