genre_name,release_year,original_language,director_name,budget_tier,runtime_bucket
Comedy,2011,en,Sarah Smith,2. Low ($1-15M),2. 90-120 min
Comedy,1978,es,Luis María Delgado,1. Micro (<$1M),1. Under 90 min
Drama,2012,ja,Kenichiro Nishiumi,1. Micro (<$1M),5. 180+ min
Action,2015,fr,Éric Hannezo,1. Micro (<$1M),2. 90-120 min
Comedy,2020,fr,Méliane Marcaggi,2. Low ($1-15M),2. 90-120 min
Comedy,2021,en,Cosimo Tucci,1. Micro (<$1M),2. 90-120 min
Mystery,1987,sk,Juraj Takáč,1. Micro (<$1M),1. Under 90 min
Fantasy,2006,en,Frank Coraci,4. High ($75-150M),2. 90-120 min
Drama,2012,en,Antonio Campos,1. Micro (<$1M),2. 90-120 min
Music,2011,ja,ShiShi Yamazaki,1. Micro (<$1M),1. Under 90 min
Documentary,1946,cs,Jiří Krejčík,1. Micro (<$1M),1. Under 90 min
Adventure,1984,en,Robert Zemeckis,2. Low ($1-15M),2. 90-120 min
Animation,1999,en,Brad Bird,3. Mid ($15-75M),1. Under 90 min
Animation,1950,en,Hamilton Luske,2. Low ($1-15M),1. Under 90 min
Science Fiction,1982,it,Tonino Ricci,1. Micro (<$1M),2. 90-120 min
Drama,2012,en,Danis Goulet,1. Micro (<$1M),1. Under 90 min
Comedy,2003,es,Lluís María Güell,1. Micro (<$1M),2. 90-120 min
Drama,2023,en,Benjamin Millepied,1. Micro (<$1M),2. 90-120 min
Comedy,2024,en,Peter Segal,1. Micro (<$1M),2. 90-120 min
Comedy,2025,en,Simon West,3. Mid ($15-75M),2. 90-120 min
Romance,2006,en,Anne Fletcher,2. Low ($1-15M),2. 90-120 min
Thriller,2010,da,Vibeke Muasya,1. Micro (<$1M),2. 90-120 min
Science Fiction,2019,en,David Yarovesky,2. Low ($1-15M),2. 90-120 min
Comedy,1929,en,William Watson,1. Micro (<$1M),1. Under 90 min
Horror,2024,sv,Philip W. da Silva,1. Micro (<$1M),2. 90-120 min
Horror,2025,id,Randolph Zaini,1. Micro (<$1M),2. 90-120 min
Drama,2025,en,Leonardo Fuica,1. Micro (<$1M),2. 90-120 min
Drama,2009,sl,Damjan Kozole,1. Micro (<$1M),2. 90-120 min
Drama,1959,it,Carlo Lizzani,1. Micro (<$1M),1. Under 90 min
Mystery,2023,en,Brad Anderson,1. Micro (<$1M),2. 90-120 min
Comedy,2025,en,Steven LaMorte,2. Low ($1-15M),2. 90-120 min
Action,2009,en,Alex Proyas,3. Mid ($15-75M),3. 120-150 min
Animation,1992,ja,Daisuke Nishio,1. Micro (<$1M),1. Under 90 min
Drama,1987,en,Bill Bennett,1. Micro (<$1M),1. Under 90 min
Crime,1980,es,Max H. Boulois,1. Micro (<$1M),2. 90-120 min
Drama,2019,en,Michael McKiddy,1. Micro (<$1M),1. Under 90 min
Drama,1969,tl,Mar S. Torres,1. Micro (<$1M),1. Under 90 min
Adventure,2002,fr,Alain Chabat,3. Mid ($15-75M),2. 90-120 min
Horror,1978,en,Meir Zarchi,1. Micro (<$1M),2. 90-120 min
TV Movie,1995,en,Brian Trenchard-Smith,1. Micro (<$1M),2. 90-120 min
Romance,2013,en,Joseph Gordon-Levitt,2. Low ($1-15M),2. 90-120 min
Adventure,2014,en,Martha Stephens,1. Micro (<$1M),2. 90-120 min
Action,2016,en,Tim Story,3. Mid ($15-75M),2. 90-120 min
Documentary,2011,it,"",1. Micro (<$1M),1. Under 90 min
Action,2017,en,Alex Maisonette,1. Micro (<$1M),2. 90-120 min
Thriller,2020,en,Will Wernick,1. Micro (<$1M),1. Under 90 min
Action,2021,en,Lana Wachowski,5. Blockbuster ($150M+),3. 120-150 min
Drama,2020,en,Phyllida Lloyd,1. Micro (<$1M),2. 90-120 min
Horror,2025,en,Mike P. Nelson,1. Micro (<$1M),2. 90-120 min
Comedy,1997,en,John Musker,4. High ($75-150M),2. 90-120 min
Thriller,1952,en,Ralph Thomas,1. Micro (<$1M),2. 90-120 min
Comedy,2008,en,Alan Kirschen,1. Micro (<$1M),1. Under 90 min
Action,2014,fr,Fred Cavayé,1. Micro (<$1M),2. 90-120 min
Drama,1978,en,Vijayan K,1. Micro (<$1M),1. Under 90 min
Drama,2014,en,Frédéric Auburtin,3. Mid ($15-75M),2. 90-120 min
Thriller,2017,en,Johannes Roberts,2. Low ($1-15M),1. Under 90 min
Animation,2021,ja,Munenori Nawa,1. Micro (<$1M),1. Under 90 min
Horror,2017,ja,Koji Shiraishi,1. Micro (<$1M),1. Under 90 min
Thriller,2025,en,Bryan Fuller,1. Micro (<$1M),2. 90-120 min
Horror,2024,en,Damian McCarthy,1. Micro (<$1M),2. 90-120 min
Drama,1997,en,David Lynch,3. Mid ($15-75M),3. 120-150 min
Animation,1940,en,Bill Roberts,2. Low ($1-15M),1. Under 90 min
Thriller,2011,en,Richard Gabai,1. Micro (<$1M),2. 90-120 min
Science Fiction,2011,cn,Cash Chin Man-Kei,1. Micro (<$1M),1. Under 90 min
War,2018,nl,Roel Reiné,2. Low ($1-15M),4. 150-180 min
